question_id,source,question,ground_truth,qwen3-32b_answer,qwen3-32b_correct,deepseek-r1-0528-qwen3-8b_answer,deepseek-r1-0528-qwen3-8b_correct,gemma-3-27b-it_answer,gemma-3-27b-it_correct
0,cross_model_verified,"A software development team is tracking defects in two different modules of their application. Module A has 50,000 lines of code and Module B has 75,000 lines of code. After deployment, Module A experiences 18 defects in the first month, while Module B experiences 35 defects in the same period. Assume defects follow a Poisson distribution.

(a) Estimate the defect density (defects per KLOC) for each module.
(b) Construct 90% confidence intervals for the true defect density of each module.
(c) Using the Likelihood Ratio Test at α = 0.05, determine whether there is sufficient evidence to conclude that the two modules have different defect densities.

##","(a) Module A: 0.36 defects/KLOC, Module B: 0.467 defects/KLOC
(b) Module A: (0.233, 0.534), Module B: (0.345, 0.604)
(c) Fail to reject H₀; no significant difference (LRT = 0.816, p-value = 0.366)",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"0.36, 0.4667, 0.3486, 0.4254, 0.4568, 0.5125, 1.184",False
1,cross_model_verified,"A manufacturer is conducting accelerated life testing on a new power supply design. They test 80 units at an elevated stress level for 500 hours. Assuming exponentially distributed failure times, failures are observed at the following times (in hours): 45, 112, 156, 203, 267, 318, 395, and 441. 

(a) Calculate the maximum likelihood estimate of the MTTF at this stress level.
(b) Construct a 95% two-sided confidence interval for the true MTTF.
(c) If the company wants to demonstrate an MTTF of at least 5,000 hours with 80% confidence using a 500-hour test with zero failures allowed, how many units would need to be tested?

##","(a) 4,742.1 hours, (b) (2,630.5, 10,983.0) hours, (c) 17 units",UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,"242.125, (139.13, 421.13), Not feasible",False
2,cross_model_verified,"A radar system consists of a critical power amplifier component that fails according to a Weibull distribution with shape parameter β = 1.5 and characteristic life η = 8,000 hours. The system operates continuously and failed components are immediately replaced (renewal process). For a 12,000-hour mission, how many spare amplifiers should be stocked to ensure that the probability of running out of spares is less than 10%?

##",3 spare amplifiers.,UNABLE_TO_EXTRACT,False,UNABLE_TO_EXTRACT,False,2,False
3,cross_model_verified,"A parallel redundant system consists of 3 independent components, each with a Weibull-distributed lifetime with shape parameter β = 2 and characteristic life η = 500 hours. For a parallel system, the system fails only when all components have failed. Calculate:
1. The reliability of the system at t = 300 hours
2. The probability that the system fails before t = 400 hours

##","1. System reliability at 300 hours: 0.972
2. Probability of failure before 400 hours: 0.106","0.9726, 0.1053",False,UNABLE_TO_EXTRACT,False,"0.9724, 0.1062",False
4,cross_model_verified,"A data center has 5 independent cooling units arranged in a k-out-of-n configuration where at least 3 units must be operational for the system to function (3-out-of-5 system). Each cooling unit has a constant failure rate and follows an exponential distribution with MTTF = 2000 hours. What is the reliability of the cooling system at t = 500 hours? (Note: For a k-out-of-n system, the system survives if at least k out of n components survive.)

##",0.924 (or 92.4%),0.9999999999999999,False,UNABLE_TO_EXTRACT,False,0.9201,False
5,cross_model_verified,"A quality control inspector is examining a batch of electronic components. The batch contains 15 components: 9 are from Supplier A and 6 are from Supplier B. Historical data shows that components from Supplier A have a 5% defect rate, while components from Supplier B have a 10% defect rate. The inspector randomly selects one component and tests it. 

(a) What is the probability that the selected component is defective?
(b) If the selected component is found to be defective, what is the probability it came from Supplier A?

##","(a) 7.0% or 0.070
(b) 3/7 or approximately 42.86%","0.07, 0.4286",False,UNABLE_TO_EXTRACT,False,"0.07, 0.4286",False
6,cross_model_verified,"A critical aerospace component follows a Weibull distribution for its failure time. The characteristic life (scale parameter) η is 50,000 flight hours, and the shape parameter β is 2.5. 

(a) Calculate the reliability of the component at 10,000 flight hours.
(b) Find the hazard rate (instantaneous failure rate) at 10,000 flight hours.
(c) What does the shape parameter β = 2.5 tell us about the aging behavior of this component?

##","(a) 98.23%
(b) 4.47 × 10⁻⁶ failures per hour (or 0.00447 failures per 1,000 hours)
(c) β = 2.5 > 1 indicates the component exhibits wear-out behavior with an increasing failure rate over time, meaning the component does age and degrades with use.","0.9823, 4.47e-6, Increasing failure rate (aging behavior)",False,UNABLE_TO_EXTRACT,False,"0.99684, 0.00000264575, The component exhibits wear-out behavior; the failure rate increases with time.",False
7,cross_model_verified,"A parallel redundant system consists of 3 independent components, each with a reliability described by the Weibull distribution with shape parameter β = 1.5 and characteristic life η = 800 hours. What is the reliability of the system at t = 200 hours? (Note: In a parallel system, the system functions if at least one component is working.)

##",0.998,0.9999999999999999,True,UNABLE_TO_EXTRACT,False,0.9984,True
8,cross_model_verified,"Derive the hazard rate function h(t) for a system whose lifetime follows a Weibull distribution with probability density function f(t) = (β/η)(t/η)^(β-1) exp[-(t/η)^β] for t ≥ 0, where β > 0 is the shape parameter and η > 0 is the characteristic life. Show how the hazard rate behavior changes depending on the value of β.

##","h(t) = (β/η)(t/η)^(β-1)

The hazard rate is decreasing for β < 1, constant for β = 1, and increasing for β > 1.",$h(t) = \frac{\beta}{\eta^\beta} t^{\beta - 1}$,False,UNABLE_TO_EXTRACT,False,"h(t) = (β/η)(t/η)^(β-1), β < 1: Decreasing, β = 1: Constant, β > 1: Increasing",True
9,cross_model_verified,"A system has a linearly increasing hazard rate given by h(t) = αt, where α is a positive constant and t ≥ 0. 

(a) Derive the cumulative distribution function F(t) for this system.
(b) Find the probability density function f(t).
(c) Calculate the reliability function R(t) at time t = 10 hours if α = 0.02 per hour².

##","(a) F(t) = 1 - e^(-αt²/2)

(b) f(t) = αt e^(-αt²/2)

(c) R(10) = e^(-1) ≈ 0.368 or 36.8%","$1 - e^{-\frac{\alpha t^2}{2}}$, $\alpha t e^{-\frac{\alpha t^2}{2}}$, 0.3679",False,UNABLE_TO_EXTRACT,False,"1 - exp(- (α/2)t²), αt * exp(- (α/2)t²), 0.367879",False
